Regio,Jaar,Leefbaarheid,Veiligheid,Woonomgeving
Amsterdam-Amstelland (PO),2008,7.1,6.7,7.2
Amsterdam-Amstelland (PO),2009,7.1,6.7,7.2
Amsterdam-Amstelland (PO),2010,7.1,6.6,7.2
Amsterdam-Amstelland (PO),2011,7.2,6.7,7.2
Brabant-Noord (PO),2008,7.5,7.1,7.5
Brabant-Noord (PO),2009,7.4,7,7.5
Brabant-Noord (PO),2010,7.5,7.1,7.5
Brabant-Noord (PO),2011,7.5,7,7.6
Brabant-Zuidoost (PO),2008,7.4,7,7.5
Brabant-Zuidoost (PO),2009,7.4,6.9,7.5
Brabant-Zuidoost (PO),2010,7.5,7,7.5
Brabant-Zuidoost (PO),2011,7.4,6.9,7.4
Drenthe (PO),2008,7.5,7.3,7.6
Drenthe (PO),2009,7.4,7.1,7.6
Drenthe (PO),2010,7.6,7.3,7.7
Drenthe (PO),2011,7.6,7.3,7.6
Flevoland (PO),2008,7.4,7.1,7.4
Flevoland (PO),2009,7.2,6.9,7.3
Flevoland (PO),2010,7.3,7.1,7.4
Flevoland (PO),2011,7.3,6.9,7.4
Friesland (PO),2008,7.6,7.4,7.5
Friesland (PO),2009,7.4,7.1,7.5
Friesland (PO),2010,7.5,7.3,7.6
Friesland (PO),2011,7.5,7.3,7.5
Gelderland-Midden (PO),2008,7.5,7.1,7.5
Gelderland-Midden (PO),2009,7.4,6.9,7.5
Gelderland-Midden (PO),2010,7.5,7.1,7.5
Gelderland-Midden (PO),2011,7.4,7,7.5
Gelderland-Zuid (PO),2008,7.5,7.1,7.5
Gelderland-Zuid (PO),2009,7.4,7,7.5
Gelderland-Zuid (PO),2010,7.4,7,7.5
Gelderland-Zuid (PO),2011,7.4,6.9,7.5
Gooi en Vechtstreek (PO),2008,7.5,7.2,7.6
Gooi en Vechtstreek (PO),2009,7.4,6.9,7.5
Gooi en Vechtstreek (PO),2010,7.5,7.1,7.5
Gooi en Vechtstreek (PO),2011,7.5,7,7.5
Groningen (PO),2008,7.3,7,7.4
Groningen (PO),2009,7.2,6.9,7.4
Groningen (PO),2010,7.4,7.3,7.5
Groningen (PO),2011,7.4,7.1,7.4
Haaglanden (PO),2008,7.2,6.7,7.3
Haaglanden (PO),2009,7.2,6.7,7.3
Haaglanden (PO),2010,7.2,6.7,7.3
Haaglanden (PO),2011,7.2,6.7,7.3
Hollands Midden (PO),2008,7.4,7,7.5
Hollands Midden (PO),2009,7.5,7.1,7.4
Hollands Midden (PO),2010,7.4,7.2,7.5
Hollands Midden (PO),2011,7.4,7,7.5
IJsselland (PO),2008,7.6,7.3,7.7
IJsselland (PO),2009,7.5,7.2,7.5
IJsselland (PO),2010,7.6,7.3,7.6
IJsselland (PO),2011,7.5,7.3,7.6
Kennemerland (PO),2008,7.4,7.2,7.5
Kennemerland (PO),2009,7.4,7.1,7.4
Kennemerland (PO),2010,7.4,7.1,7.4
Kennemerland (PO),2011,7.4,7.1,7.5
Limburg-Noord (PO),2008,7.5,7.1,7.5
Limburg-Noord (PO),2009,7.4,7,7.5
Limburg-Noord (PO),2010,7.5,7.1,7.6
Limburg-Noord (PO),2011,7.5,7.1,7.5
Limburg-Zuid (PO),2008,7.2,6.8,7.4
Limburg-Zuid (PO),2009,7.2,6.8,7.3
Limburg-Zuid (PO),2010,7.2,6.7,7.3
Limburg-Zuid (PO),2011,7.4,6.8,7.5
Midden- en West-Brabant (PO),2008,7.3,7,7.3
Midden- en West-Brabant (PO),2009,7.3,6.8,7.4
Midden- en West-Brabant (PO),2010,7.4,6.9,7.4
Midden- en West-Brabant (PO),2011,7.4,6.8,7.4
Nederland,2008,7.4,7,7.4
Nederland,2009,7.3,6.9,7.4
Nederland,2010,7.4,7,7.5
Nederland,2011,7.4,7,7.5
Noord- en Oost-Gelderland (PO),2008,7.6,7.3,7.7
Noord- en Oost-Gelderland (PO),2009,7.5,7.2,7.6
Noord- en Oost-Gelderland (PO),2010,7.6,7.2,7.7
Noord- en Oost-Gelderland (PO),2011,7.6,7.3,7.7
Noord-Holland-Noord (PO),2008,7.5,7.2,7.6
Noord-Holland-Noord (PO),2009,7.4,7,7.5
Noord-Holland-Noord (PO),2010,7.6,7.3,7.6
Noord-Holland-Noord (PO),2011,7.4,7,7.5
Rotterdam-Rijnmond (PO),2008,7.1,6.7,7.2
Rotterdam-Rijnmond (PO),2009,7.1,6.7,7.2
Rotterdam-Rijnmond (PO),2010,7,6.6,7.1
Rotterdam-Rijnmond (PO),2011,7.1,6.7,7.2
Twente (PO),2008,7.6,7.3,7.6
Twente (PO),2009,7.5,7.2,7.4
Twente (PO),2010,7.5,7.2,7.5
Twente (PO),2011,7.4,7,7.5
Utrecht (PO),2008,7.4,6.8,7.4
Utrecht (PO),2009,7.3,6.8,7.4
Utrecht (PO),2010,7.6,7.1,7.6
Utrecht (PO),2011,7.4,6.9,7.5
Zaanstreek-Waterland (PO),2008,7.3,7,7.4
Zaanstreek-Waterland (PO),2009,7.4,7.1,7.4
Zaanstreek-Waterland (PO),2010,7.3,7,7.4
Zaanstreek-Waterland (PO),2011,7.3,7,7.4
Zeeland (PO),2008,7.5,7.3,7.5
Zeeland (PO),2009,7.4,7.1,7.5
Zeeland (PO),2010,7.6,7.4,7.7
Zeeland (PO),2011,7.5,7.4,7.6
Zuid-Holland-Zuid (PO),2008,7.4,7.1,7.4
Zuid-Holland-Zuid (PO),2009,7.3,7,7.4
Zuid-Holland-Zuid (PO),2010,7.3,7.1,7.4
Zuid-Holland-Zuid (PO),2011,7.5,7.2,7.5
